Province/City ,District ,Representative ,,Party ,Term ,Bloc 
Abra ,Lone , ,Ma. Jocelyn Valera-Bernos ,Liberal1,1,Majority 
Agusan del Norte ,1st, ,Jose Aquino II ,Lakas ,2,Minority 
,2nd, ,Angelica Amante ,Liberal ,1,Majority 
Agusan del Sur ,1st, ,Maria Valentina Plaza ,NUP ,1,Majority 
,2nd, ,Evelyn Mellana ,NUP ,1,Majority 
Aklan ,Lone , ,Florencio Miraflores ,Liberal1,3,Majority 
Albay ,1st, ,Edcel Lagman ,Independent ,3,Majority 
,2nd, ,Al Francis Bichara ,Nacionalista ,2,Majority 
,3rd, ,Fernando Gonzalez2,Liberal ,1,Majority 
Antipolo ,1st, ,Roberto Puno ,NUP ,2,Majority 
,2nd, ,Romeo Acop ,Liberal ,1,Majority 
Antique ,Lone , ,Paolo Javier ,Liberal ,1,Majority 
Apayao ,Lone , ,Eleanor Begtang ,NPC ,1,Majority 
Aurora ,Lone , ,Juan Edgardo Angara ,LDP ,3,Majority 
Bacolod ,Lone , ,"Anthony Golez, Jr. ",Independent ,1,Majority 
Baguio ,Lone , ,Bernardo Vergara ,UNA ,1,Majority 
Basilan ,Lone , ,Hadjiman Hataman-Salliman ,Liberal ,1,Majority 
Bataan ,1st, ,Herminia Roman ,Liberal ,2,Majority 
,2nd, ,Albert S. Garcia ,NUP ,3,Majority 
Batanes ,Lone , ,Henedina Abad ,Liberal ,1,Majority 
Batangas ,1st, ,Tomas Apacible ,Liberal ,1,Majority 
,2nd, ,Hermilando Mandanas ,Independent ,3,Majority 
,3rd, ,Nelson Collantes ,Liberal1,1,Majority 
,4th, ,Mark L. Mendoza ,NPC ,2,Majority 
Benguet ,Lone , ,Ronald Cosalan ,Liberal ,1,Majority 
Biliran ,Lone , ,Rogelio Espina ,Liberal1,1,Majority 
Bohol ,1st, ,Rene Relampagos ,Liberal1,1,Majority 
,2nd, ,"Erico B. Aumentado (until December 26, 2012)3",NPC ,1,Minority 
,3rd, ,Arthur Yap ,NPC ,1,Minority 
Bukidnon ,1st, ,Jesus Emmanuel Paras ,NPC ,1,Majority 
,2nd, ,"Florencio Flores, Jr. ",Nacionalista ,1,Majority 
,3rd, ,Jose Zubiri III ,Bukidnon Paglaum ,2,Majority 
Bulacan ,1st, ,Ma. Victoria Sy-Alvarado ,NUP ,2,Majority 
,2nd, ,Pedro Pancho ,NUP ,3,Majority 
,3rd, ,Jonjon Mendoza ,Liberal ,1,Majority 
,4th, ,Linabelle Villarica ,Liberal ,1,Majority 
Cagayan ,1st, ,"Juan Ponce Enrile, Jr. ",NPC ,1,Majority 
,2nd, ,Florencio Vargas,Lakas-Kampi ,3,(none) 
,2nd, ,Baby Aline Vargas-Alfonso,NUP ,0,Majority 
,3rd, ,Randolph Ting ,NUP ,1,Majority 
Cagayan de Oro ,1st, ,Jose Benjamin Benaldo ,Nacionalista ,1,Majority 
,2nd, ,Rufus Rodriguez ,CDP ,2,Majority 
Caloocan ,1st, ,Oscar Malapitan ,UNA ,3,Majority 
,2nd, ,Mitzi Cajayon ,NUP ,2,Majority 
Camarines Norte ,1st, ,"Renato Unico, Jr. ",NUP ,1,Majority 
,2nd, ,Elmer Panotes ,Lakas ,1,Minority 
Camarines Sur ,1st, ,"Rolando Andaya, Jr. ",Lakas ,1,Majority 
,2nd, ,Dato Arroyo ,Lakas ,2,Minority 
,3rd, ,"Luis Villafuerte, Sr. ",NPC ,3,Majority 
,4th, ,Arnulfo Fuentebella ,NPC ,3,Majority 
,5th, ,Salvio Fortuno ,Liberal1,1,Majority 
Camiguin ,Lone , ,"Pedro Romualdo(until April 24, 2013)16",Lakas ,2,Majority 
Capiz ,1st, ,Antonio Del Rosario ,Liberal ,2,Majority 
,2nd, ,Jane Castro ,NUP ,1,Majority 
Catanduanes ,Lone , ,Cesar Sarmiento ,Liberal ,1,Majority 
Cavite ,1st, ,"Joseph Emilio Abaya (until October 18, 2012)",Liberal ,3,Majority 
,2nd, ,Lani Mercado ,Lakas ,1,Minority 
